Ven,Opp,WinMar,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Rtg,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
1,NYK,4,1,38.39,13,22,0.591,3,8,0.375,5,6,0.833,0,11,11,4,2,1,4,3,34,27,0,0.69,0.659,0,24.4,14.7,23.8,2.6,2.2,14,35.1,122,102,10.7
0,MIA,8,1,41.26,9,22,0.409,3,10,0.3,1,3,0.333,0,8,8,5,1,0,2,4,22,12.7,13,0.472,0.477,0,18.5,9.3,16.8,1.2,0,7.9,24.8,105,113,-1.3
1,WAS,19,1,27.36,14,21,0.667,4,9,0.444,1,1,1,0,6,6,3,0,0,2,2,33,25,27,0.77,0.762,0,22.2,11.5,19.6,0,0,8.5,33.4,142,110,12.8
,IND,51,1,26.34,9,15,0.6,3,5,0.6,9,10,0.9,2,10,12,4,0,0,2,1,30,27.5,36,0.773,0.7,10.6,33.5,24.6,19.2,0,0,9.3,32.7,158,99,14.4
1,BRK,10,1,40.52,10,20,0.5,6,10,0.6,6,6,1,1,10,11,1,0,0,3,1,32,23,18,0.707,0.65,2.8,23.5,14,3.8,0,0,11.7,26.7,128,117,4.5
1,MIN,-4,1,42.58,12,22,0.545,2,8,0.25,6,8,0.75,0,5,5,2,5,0,6,2,32,21.7,3,0.627,0.591,0,15.4,6.9,11.6,5.6,0,19,31.6,101,98,8
1,PHI,-3,1,37.05,6,14,0.429,2,6,0.333,2,3,0.667,1,14,15,6,3,0,2,2,16,17.5,-1,0.522,0.5,2.4,39.4,19.6,27.5,3.9,0,11.5,20.1,104,96,6.7
0,BRK,14,1,33.18,6,17,0.353,4,11,0.364,7,9,0.778,1,9,10,3,0,0,2,1,23,15.8,28,0.549,0.471,2.7,29.5,14.7,13.4,0,0,8.7,29.2,115,115,0.6
0,TOR,23,1,34.05,10,18,0.556,3,9,0.333,4,6,0.667,0,5,5,4,0,1,1,2,27,20.8,42,0.654,0.639,0,14.7,8.5,17.1,0,2.6,4.6,29.4,127,98,7.3
0,NYK,16,1,39.28,13,23,0.565,5,12,0.417,4,5,0.8,1,5,6,7,1,0,3,5,35,26.8,12,0.694,0.674,3.7,14.8,9.9,35.2,1.4,0,10.6,35.3,135,116,11.7
