Ven,Opp,WinMar,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
1,NYK,-4,1,44.37,7,30,0.233,2,15,0.133,4,5,0.8,4,7,11,4,1,1,3,2,20,7,-3,0.311,0.267,8.3,19,12.9,13.4,1,2.2,8.5,31.5,74,113,-10.3
0,TOR,-32,1,30.20,8,14,0.571,2,4,0.5,0,1,0,0,6,6,4,0,2,5,3,18,10.8,-12,0.623,0.643,0,17.9,9.3,32.7,0,4.9,25.7,27.5,92,118,3
1,HOU,10,1,36.54,12,24,0.5,4,11,0.364,3,4,0.75,0,9,9,2,1,1,1,4,31,21.8,4,0.602,0.583,0,27.9,14.1,11.6,1.3,3,3.7,32.9,114,100,6.7
1,CHO,11,1,41.28,14,28,0.5,6,12,0.5,7,7,1,1,6,7,8,0,1,2,3,41,32.6,22,0.66,0.607,2.6,13.7,8.5,31.8,0,2.2,6,34.1,135,119,9.5
0,WAS,-9,1,35.40,9,22,0.409,1,8,0.125,4,8,0.5,1,6,7,2,0,0,2,2,23,10.7,-8,0.451,0.432,2.9,21.2,11.2,10.8,0,0,7.3,33.6,91,122,-5.8
1,WAS,-3,1,45.49,10,32,0.313,0,5,0,7,7,1,2,13,15,3,2,1,4,5,27,12.7,2,0.385,0.313,4.4,28.4,16.4,12.1,2.2,1.9,10.2,38.4,76,93,-3
0,CHI,-14,1,36.15,8,22,0.364,1,4,0.25,3,4,0.75,1,3,4,3,2,0,1,3,20,10.9,-24,0.421,0.386,2.5,11.3,6,12.6,2.7,0,4,28.8,95,131,-5.3
1,ORL,13,1,33.55,4,16,0.25,1,6,0.167,5,8,0.625,0,6,6,3,1,2,2,1,14,7.1,12,0.359,0.281,0,17.3,8.8,15.5,1.5,6.9,9.3,30.2,75,83,-3.4
1,MIA,17,1,29.24,3,13,0.231,2,5,0.4,2,3,0.667,0,8,8,2,1,0,1,4,10,3.9,10,0.349,0.308,0,27.2,14.4,12.5,1.8,0,6.5,24.3,80,81,-3.7
1,DAL,-3,1,38.27,12,19,0.632,6,8,0.75,2,2,1,1,10,11,2,2,1,4,4,32,25.7,5,0.805,0.789,3,35.7,18.1,9.2,2.7,3.2,16.8,28.7,130,108,15.2
0,TOR,16,1,36.33,8,24,0.333,3,7,0.429,3,4,0.75,1,10,11,7,1,0,2,3,22,14.4,18,0.427,0.396,2.8,34.6,17,29.2,1.3,0,7.2,31.5,98,91,4.9
0,MIL,9,1,41.36,10,25,0.4,5,13,0.385,2,4,0.5,2,9,11,1,0,2,3,1,27,15.5,11,0.504,0.5,5.9,23.4,15.2,3.7,0,5,10.1,31.6,106,112,-0.9
1,CLE,-2,1,35.22,8,22,0.364,1,8,0.125,4,5,0.8,0,4,4,2,0,0,6,1,21,4.6,12,0.434,0.386,0,11.8,6.3,12.3,0,0,19.9,39.1,74,106,-9.1
1,CLE,6,1,35.40,7,20,0.35,2,8,0.25,7,7,1,1,7,8,5,1,2,2,2,23,17.7,4,0.498,0.4,3.3,20,12.2,25.3,1.4,6.3,8,33.5,103,95,5.1
1,ATL,-11,1,37.46,12,22,0.545,5,12,0.417,5,6,0.833,3,6,9,5,1,1,4,2,34,27.3,-7,0.69,0.659,8.3,21.2,13.9,29.2,1.4,2.9,14,34.5,125,119,14.1
0,LAL,22,1,33.31,13,26,0.5,4,9,0.444,7,7,1,1,10,11,2,3,1,1,3,37,30.6,10,0.636,0.577,3.8,31.1,18.8,11.3,4.3,2.7,3.3,36.9,137,98,15
